"Bounding Box (w, h)",Number of Lesions
"(14, 36)",1
"(14, 38)",2
"(14, 41)",1
"(14, 42)",1
"(14, 44)",1
"(14, 47)",1
"(14, 49)",1
"(15, 3)",1
"(15, 5)",1
"(15, 6)",1
"(15, 7)",5
"(15, 8)",5
"(15, 9)",9
"(15, 10)",4
"(15, 11)",10
"(15, 12)",10
"(15, 13)",14
"(15, 14)",11
"(15, 15)",10
"(15, 16)",10
"(15, 17)",3
"(15, 18)",14
"(15, 19)",4
"(15, 20)",6
"(15, 21)",1
"(15, 22)",5
"(15, 23)",2
"(15, 24)",3
"(15, 25)",1
"(15, 27)",2
"(15, 28)",2
"(15, 29)",1
"(15, 30)",2
"(15, 31)",1
"(15, 32)",1
"(15, 33)",2
"(15, 36)",3
"(15, 41)",1
"(15, 48)",1
"(15, 66)",1
"(15, 72)",1
"(16, 7)",5
"(16, 9)",8
"(16, 10)",5
"(16, 11)",9
"(16, 12)",4
"(16, 13)",14
"(16, 14)",9
"(16, 15)",10
"(16, 16)",15
"(16, 17)",7
"(16, 18)",7
"(16, 19)",3
"(16, 20)",4
"(16, 21)",3
"(16, 22)",6
"(16, 23)",7
"(16, 24)",6
"(16, 25)",7
"(16, 26)",2
"(16, 27)",3
"(16, 28)",1
"(16, 29)",3
"(16, 31)",4
"(16, 32)",1
"(16, 33)",2
"(16, 34)",1
"(16, 35)",2
"(16, 36)",2
"(16, 38)",1
"(16, 39)",1
"(16, 40)",1
"(16, 42)",1
"(16, 52)",1
"(16, 53)",1
"(16, 58)",1
"(17, 7)",3
"(17, 9)",3
"(17, 10)",2
"(17, 11)",11
"(17, 12)",3
"(17, 13)",14
"(17, 14)",2
"(17, 15)",3
"(17, 16)",5
"(17, 17)",7
"(17, 18)",10
"(17, 20)",7
"(17, 21)",4
"(17, 22)",5
"(17, 23)",2
"(17, 24)",2
"(17, 25)",2
"(17, 27)",1
"(17, 28)",3
"(17, 29)",2
"(17, 30)",1
"(17, 31)",2
"(17, 33)",4
"(17, 35)",1
"(17, 36)",1
"(17, 37)",1
"(17, 39)",1
"(17, 40)",2
"(17, 46)",1
"(18, 4)",1
"(18, 7)",2
"(18, 9)",2
"(18, 10)",2
"(18, 11)",9
"(18, 12)",3
"(18, 13)",5
"(18, 14)",2
"(18, 15)",5
"(18, 16)",15
"(18, 17)",5
"(18, 18)",10
"(18, 19)",6
"(18, 20)",10
"(18, 21)",4
"(18, 22)",9
"(18, 23)",2
"(18, 24)",1
"(18, 25)",7
"(18, 26)",3
"(18, 27)",2
"(18, 28)",1
"(18, 29)",6
"(18, 31)",1
"(18, 32)",1
"(18, 33)",1
"(18, 34)",2
"(18, 36)",2
"(18, 37)",1
"(18, 38)",2
"(18, 39)",2
"(18, 40)",2
"(18, 41)",2
"(18, 42)",2
"(18, 43)",3
"(18, 47)",1
"(18, 60)",1
"(18, 63)",1
"(18, 65)",1
"(18, 95)",1
"(19, 7)",1
"(19, 11)",2
"(19, 12)",2
"(19, 13)",6
"(19, 14)",1
"(19, 15)",3
"(19, 16)",4
"(19, 17)",4
"(19, 18)",5
"(19, 19)",1
"(19, 20)",2
"(19, 21)",5
"(19, 22)",7
"(19, 23)",4
"(19, 24)",4
"(19, 25)",1
"(19, 26)",1
"(19, 28)",2
"(19, 29)",1
"(19, 30)",1
"(19, 36)",2
"(19, 39)",2
"(19, 40)",1
"(19, 41)",1
"(19, 42)",1
"(19, 48)",1
"(19, 49)",1
"(19, 66)",1
"(20, 6)",1
"(20, 7)",1
"(20, 8)",3
